Kuupaev;Tarbimine;Tuuleparkide toodang;Paikeseenergia toodang;Baaskoormusjaamad
01.01.2022 00:00;899,4;20;0;275
01.01.2022 01:00;892,1;21;0;275
01.01.2022 02:00;874,3;26,9;0;275
01.01.2022 03:00;860,1;24,5;0;275
01.01.2022 04:00;842,7;32;0;275
01.01.2022 05:00;844,7;44,4;0;275
01.01.2022 06:00;852,2;66,4;0;275
01.01.2022 07:00;868,4;110;0;275
01.01.2022 08:00;874,8;149;0;275
01.01.2022 09:00;882;155,9;0,2;275
01.01.2022 10:00;925,4;176;1;275
01.01.2022 11:00;978,1;174,6;2,7;275
01.01.2022 12:00;987,8;153,5;6,3;275
01.01.2022 13:00;991,6;137,5;8,4;275
01.01.2022 14:00;980,2;142;4,9;275
01.01.2022 15:00;983,8;149,7;0,7;275
01.01.2022 16:00;1052;144,9;0;275
01.01.2022 17:00;1069,1;147,3;0;275
01.01.2022 18:00;1076,5;129,2;0;275
01.01.2022 19:00;1064,3;115,3;0;275
01.01.2022 20:00;1052,8;84,7;0;275
01.01.2022 21:00;1030,9;60,2;0;275
01.01.2022 22:00;997,3;39,4;0;275
01.01.2022 23:00;967,6;36,3;0;275
02.01.2022 00:00;936,6;35,3;0;275
02.01.2022 01:00;917,2;33,5;0;275
02.01.2022 02:00;899,7;34,1;0;275
02.01.2022 03:00;891,8;51,8;0;275
02.01.2022 04:00;883,9;74,2;0;275
02.01.2022 05:00;878,2;85,7;0;275
02.01.2022 06:00;900,3;68,5;0;275
02.01.2022 07:00;933,6;86,9;0;275
02.01.2022 08:00;983,2;97,2;0;275
02.01.2022 09:00;1013,3;121,4;0,3;275
02.01.2022 10:00;1042,3;141,7;1,2;275
02.01.2022 11:00;1066,5;144;2,4;275
02.01.2022 12:00;1070,5;150,7;2,8;275
02.01.2022 13:00;1066,9;153,4;2,4;275
02.01.2022 14:00;1076,6;145,9;1,1;275
02.01.2022 15:00;1099,9;143;0,2;275
02.01.2022 16:00;1158,9;125,2;0;275
02.01.2022 17:00;1164,5;131,6;0;275
02.01.2022 18:00;1159,6;117,9;0;275
02.01.2022 19:00;1140,5;113,8;0;275
02.01.2022 20:00;1116,1;84,5;0;275
02.01.2022 21:00;1073,9;69,1;0;275
02.01.2022 22:00;1020,5;65,8;0;275
02.01.2022 23:00;964,9;58,9;0;275
03.01.2022 00:00;923;42,6;0;275
03.01.2022 01:00;923,7;35,1;0;275
03.01.2022 02:00;905,1;31,5;0;275
03.01.2022 03:00;886,2;24,6;0;275
03.01.2022 04:00;902;26;0;275
03.01.2022 05:00;909,4;22,6;0;275
03.01.2022 06:00;1010;22,9;0;275
03.01.2022 07:00;1119,5;20,8;0;275
03.01.2022 08:00;1227,8;20,8;0;275
03.01.2022 09:00;1263,7;22;0,4;275
03.01.2022 10:00;1280,8;23;1,8;275
03.01.2022 11:00;1290;26,5;3,4;275
03.01.2022 12:00;1287,2;33;3,6;275
03.01.2022 13:00;1295,8;27,4;3;275
03.01.2022 14:00;1282,1;25,1;1,6;275
03.01.2022 15:00;1286,5;26,4;0,4;275
03.01.2022 16:00;1309,2;27,9;0;275
03.01.2022 17:00;1280,7;41,8;0;275
03.01.2022 18:00;1262,2;43,6;0;275
03.01.2022 19:00;1227,4;39,8;0;275
03.01.2022 20:00;1196;34,6;0;275
03.01.2022 21:00;1139,7;31;0;275
03.01.2022 22:00;1068;34,5;0;275
03.01.2022 23:00;985,8;40,3;0;275
04.01.2022 00:00;929,3;48,7;0;275
04.01.2022 01:00;910,3;62,4;0;275
04.01.2022 02:00;884,8;62,6;0;275
04.01.2022 03:00;865;79,7;0;275
04.01.2022 04:00;869,5;83,9;0;275
04.01.2022 05:00;893,4;97,7;0;275
04.01.2022 06:00;978;107,2;0;275
04.01.2022 07:00;1075,3;122,9;0;275
04.01.2022 08:00;1183,4;140,3;0;275
04.01.2022 09:00;1204,8;146,4;0,8;275
04.01.2022 10:00;1214,8;144,9;3,9;275
04.01.2022 11:00;1227,1;126,3;7,7;275
04.01.2022 12:00;1241,9;91;10,8;275
04.01.2022 13:00;1257,9;79,2;11,8;275
04.01.2022 14:00;1239,2;68,1;7,1;275
04.01.2022 15:00;1237,3;75,9;1,3;275
04.01.2022 16:00;1266,4;70,7;0;275
04.01.2022 17:00;1260,7;71,5;0;275
04.01.2022 18:00;1242,4;60,6;0;275
04.01.2022 19:00;1211,1;56,7;0;275
04.01.2022 20:00;1167,9;59,8;0;275
04.01.2022 21:00;1121,4;57,7;0;275
04.01.2022 22:00;1046,7;52;0;275
04.01.2022 23:00;973,9;42,1;0;275
05.01.2022 00:00;923,6;37,1;0;275
05.01.2022 01:00;900,3;29,7;0;275
05.01.2022 02:00;892,3;26,9;0;275
05.01.2022 03:00;883;17,1;0;275
05.01.2022 04:00;889,5;13,6;0;275
05.01.2022 05:00;925,5;14,1;0;275
05.01.2022 06:00;1024,3;13,7;0;275
05.01.2022 07:00;1144,7;20;0;275
05.01.2022 08:00;1245,1;27,9;0;275
05.01.2022 09:00;1274;43,7;0,8;275
05.01.2022 10:00;1280,9;50,6;3,3;275
05.01.2022 11:00;1272,9;49,1;6,8;275
05.01.2022 12:00;1259,5;47,5;13,3;275
05.01.2022 13:00;1269,3;55,5;12,3;275
05.01.2022 14:00;1242;57,3;5,6;275
05.01.2022 15:00;1232,4;79,7;0,9;275
05.01.2022 16:00;1254;90,7;0;275
05.01.2022 17:00;1242,5;84;0;275
05.01.2022 18:00;1243;70,4;0;275
05.01.2022 19:00;1214,6;69,4;0;275
05.01.2022 20:00;1171,2;87,5;0;275
05.01.2022 21:00;1125,5;72,1;0;275
05.01.2022 22:00;1053,2;55,9;0;275
05.01.2022 23:00;975,3;44,8;0;275
06.01.2022 00:00;928,8;43,7;0;275
06.01.2022 01:00;899,1;37,9;0;275
06.01.2022 02:00;889,3;46,8;0;275
06.01.2022 03:00;881,9;46,6;0;275
06.01.2022 04:00;891,3;45,3;0;275
06.01.2022 05:00;921,4;74,5;0;275
06.01.2022 06:00;1008,7;113,8;0;275
06.01.2022 07:00;1119,9;139,4;0;275
06.01.2022 08:00;1231,2;152,6;0,2;275
06.01.2022 09:00;1271;154,8;0,4;275
06.01.2022 10:00;1282,1;180,6;1,4;275
06.01.2022 11:00;1303,4;181,7;2,8;275
06.01.2022 12:00;1315,6;164,7;3,7;275
06.01.2022 13:00;1332,6;157,8;3,5;275
06.01.2022 14:00;1297,7;145,5;2,1;275
06.01.2022 15:00;1299,1;124,4;0,5;275
06.01.2022 16:00;1317,2;121,4;0;275
06.01.2022 17:00;1322,5;95,7;0;275
06.01.2022 18:00;1283,7;123,9;0;275
06.01.2022 19:00;1253,3;112,9;0;275
06.01.2022 20:00;1225,5;111,8;0;275
06.01.2022 21:00;1164,6;146,5;0;275
06.01.2022 22:00;1090,6;175;0;275
06.01.2022 23:00;1018,1;192,7;0;275
07.01.2022 00:00;955,7;199,9;0;275
07.01.2022 01:00;929,1;207,1;0;275
07.01.2022 02:00;918,8;213,8;0;275
07.01.2022 03:00;906,4;232,8;0;275
07.01.2022 04:00;908;239,7;0;275
07.01.2022 05:00;940,1;224,5;0;275
07.01.2022 06:00;1048,9;190,2;0;275
07.01.2022 07:00;1167,8;161,3;0;275
07.01.2022 08:00;1280;160,5;0;275
07.01.2022 09:00;1320,2;154,9;0,6;275
07.01.2022 10:00;1338,5;154,4;2,6;275
07.01.2022 11:00;1363,8;131,6;5,6;275
07.01.2022 12:00;1359,9;96,8;7,7;275
07.01.2022 13:00;1359,1;76,8;6,6;275
07.01.2022 14:00;1326,7;66,1;3,2;275
07.01.2022 15:00;1314,2;71,4;0,5;275
07.01.2022 16:00;1322,2;76;0;275
07.01.2022 17:00;1313,3;74,2;0;275
07.01.2022 18:00;1297;51,2;0;275
07.01.2022 19:00;1258,8;31,5;0;275
07.01.2022 20:00;1223,3;22,9;0;275
07.01.2022 21:00;1163,3;22,8;0;275
07.01.2022 22:00;1104,9;23,1;0;275
07.01.2022 23:00;1039,8;24;0;275
08.01.2022 00:00;1004,3;31,4;0;275
08.01.2022 01:00;982,6;38,9;0;275
08.01.2022 02:00;962,7;51,3;0;275
08.01.2022 03:00;960,8;61,2;0;275
08.01.2022 04:00;955,1;70,8;0;275
08.01.2022 05:00;963,3;70,3;0;275
08.01.2022 06:00;992,6;68,9;0;275
08.01.2022 07:00;1038,5;65,4;0;275
08.01.2022 08:00;1094,4;71,6;0;275
08.01.2022 09:00;1132,6;74,3;0,3;275
08.01.2022 10:00;1159;82;1;275
08.01.2022 11:00;1174;102,4;1,7;275
08.01.2022 12:00;1171;108,6;2,2;275
08.01.2022 13:00;1175,6;101,3;1,9;275
08.01.2022 14:00;1161,5;78,5;0,8;275
08.01.2022 15:00;1161,3;81,4;0;275
08.01.2022 16:00;1207;94,9;0;275
08.01.2022 17:00;1203,1;100;0;275
08.01.2022 18:00;1182;91,6;0;275
08.01.2022 19:00;1166,3;86,9;0;275
08.01.2022 20:00;1128,2;80,5;0;275
08.01.2022 21:00;1079,1;77,7;0;275
08.01.2022 22:00;1012,3;77,2;0;275
08.01.2022 23:00;970,6;73;0;275
09.01.2022 00:00;938,5;64,5;0;275
09.01.2022 01:00;914,9;66,2;0;275
09.01.2022 02:00;902,6;62,9;0;275
09.01.2022 03:00;896,9;54,9;0;275
09.01.2022 04:00;872,8;55,2;0;275
09.01.2022 05:00;892,3;52,2;0;275
09.01.2022 06:00;916,1;51;0;275
09.01.2022 07:00;956,1;44,3;0;275
09.01.2022 08:00;997,6;50,3;0;275
09.01.2022 09:00;1035,1;40,5;0,5;275
09.01.2022 10:00;1070,3;46,6;1,2;275
09.01.2022 11:00;1076,3;54,8;1,7;275
09.01.2022 12:00;1090;63,6;1,7;275
09.01.2022 13:00;1083,1;59,9;1,7;275
09.01.2022 14:00;1064,8;44,5;0,9;275
09.01.2022 15:00;1086,5;34,4;0,2;275
09.01.2022 16:00;1138,3;22,9;0;275
09.01.2022 17:00;1173,5;19,4;0;275
09.01.2022 18:00;1175;20;0;275
09.01.2022 19:00;1137;25,8;0;275
09.01.2022 20:00;1115,8;30,8;0;275
09.01.2022 21:00;1072,5;45,2;0;275
09.01.2022 22:00;1014,9;55,8;0;275
09.01.2022 23:00;956,7;52,4;0;275
10.01.2022 00:00;916,5;51,7;0;275
10.01.2022 01:00;875,6;57,5;0;275
10.01.2022 02:00;860,5;55,3;0;275
10.01.2022 03:00;866;59,4;0;275
10.01.2022 04:00;872,6;66,2;0;275
10.01.2022 05:00;902,1;70;0;275
10.01.2022 06:00;1031,1;69,4;0;275
10.01.2022 07:00;1173,9;64,3;0;275
10.01.2022 08:00;1279,9;54,8;0;275
10.01.2022 09:00;1293,6;39,9;0,2;275
10.01.2022 10:00;1296,2;33,9;0,6;275
10.01.2022 11:00;1312,3;24,6;1,2;275
10.01.2022 12:00;1305;21;1,7;275
10.01.2022 13:00;1313,6;28,5;1,8;275
